,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-1.3419846,-1.570763,0.69794357,-0.45554233,-2.2908723,-0.38379607,-1.2152041,-2.3114212,1.2709366,-0.11159455,0.9435522,-0.9970672,0.20238861,-0.2566318,2.6425498,-1.1556796,1.2270358,0.56056553,-1.2556907,-0.1701557,-2.5748572,-0.6212033,-0.28426048,-0.10007817,-0.5447345,-0.7424462,-1.3532361,0.82027084,1.3042608,-1.4103395,1.8511503,-0.24499339,-1.8021936,-0.3124981,-1.6158899,-2.11526,0.30099064,-1.8989853,1.826845,-3.3305738,0.8040726,-1.0832875,-1.9793012,-0.8385312,-0.9043518,0.29350564,0.129416,0.16730475,-0.5365234,-0.20008329
1,-1.3419235,-1.5699974,0.6976378,-0.4573742,-2.2920043,-0.38187334,-1.2155468,-2.3128653,1.2724887,-0.111692294,0.9447382,-0.9969262,0.20200105,-0.2581705,2.6419253,-1.1549269,1.2260114,0.560463,-1.2567142,-0.16844097,-2.5751047,-0.6209526,-0.28508186,-0.098980665,-0.5445891,-0.7426373,-1.3538295,0.8192222,1.304242,-1.4092098,1.8505261,-0.24430631,-1.8047022,-0.3139374,-1.6161593,-2.114822,0.3027766,-1.8969977,1.8272744,-3.3309894,0.80542177,-1.0850121,-1.9805833,-0.8389697,-0.9037282,0.2929134,0.12769872,0.16753863,-0.5372412,-0.20021465
2,-1.3417791,-1.5681891,0.6969156,-0.46170098,-2.2946782,-0.37733194,-1.2163564,-2.316276,1.2761548,-0.111923166,0.94753957,-0.9965931,0.20108564,-0.2618048,2.6404505,-1.1531491,1.2235919,0.5602208,-1.2591318,-0.16439083,-2.5756893,-0.62036043,-0.28702193,-0.0963884,-0.5442458,-0.74308866,-1.355231,0.81674534,1.3041974,-1.4065418,1.8490517,-0.24268346,-1.8106272,-0.31733698,-1.6167955,-2.1137874,0.306995,-1.8923031,1.8282887,-3.331971,0.8086084,-1.0809385,-1.9836115,-0.84000546,-0.90225524,0.2915146,0.123642564,0.16809101,-0.53893673,-0.20052494
3,-1.34171,-1.5673233,0.69656986,-0.4637727,-2.2959585,-0.37515748,-1.216744,-2.3179092,1.2743994,-0.11203371,0.9488809,-0.9964336,0.20064734,-0.26354495,2.6397443,-1.1522979,1.2224334,0.5601048,-1.2602893,-0.16245158,-2.5759692,-0.6200769,-0.28795087,-0.095147185,-0.5440814,-0.7433048,-1.3559022,0.8155594,1.3041761,-1.4052644,1.8483458,-0.2419064,-1.8134642,-0.31896475,-1.6171001,-2.113292,0.30901483,-1.8900553,1.8287743,-3.3324409,0.81013423,-1.078988,-1.9850614,-0.84050137,-0.90155,0.29084483,0.12170042,0.16835551,-0.53974855,-0.2006735
4,-1.3411887,-1.5607915,0.6939612,-0.4794019,-2.305617,-0.35875317,-1.219668,-2.33023,1.2611569,-0.11286767,0.9589998,-0.9952305,0.20395395,-0.27667272,2.6344173,-1.145876,1.2136937,0.5592299,-1.2690221,-0.14782178,-2.5780811,-0.6179378,-0.29495877,-0.08578346,-0.5428412,-0.7449353,-1.360965,0.80661255,1.3040149,-1.3956269,1.8430202,-0.23604435,-1.8348664,-0.33124468,-1.6193982,-2.1095552,0.3242524,-1.8730978,1.8324378,-3.3359864,0.82164484,-1.0642735,-1.9959998,-0.8442427,-0.8962295,0.28579208,0.10704887,0.17035085,-0.54587305,-0.20179433
5,-1.3409641,-1.5579771,0.6928372,-0.48613608,-2.3097787,-0.351685,-1.220928,-2.3355386,1.2554511,-0.113227,0.9633598,-0.9947121,0.20537868,-0.28232914,2.632122,-1.148643,1.209928,0.5588529,-1.2727848,-0.14151819,-2.5789912,-0.61701614,-0.2979783,-0.08174887,-0.54230684,-0.74563783,-1.3631464,0.8027576,1.3039455,-1.3914744,1.8407255,-0.23351854,-1.8440881,-0.33653578,-1.6203884,-2.1079452,0.33081788,-1.8657912,1.8340162,-3.3375142,0.8266045,-1.0579334,-2.0007129,-0.84585476,-0.89393705,0.283615,0.100735895,0.17121059,-0.5485119,-0.20227726
6,-1.3409287,-1.557533,0.6926598,-0.4871987,-2.3104353,-0.35056967,-1.2211268,-2.3363764,1.2545507,-0.1132837,0.96404773,-0.99463034,0.2056035,-0.2832217,2.63176,-1.1490797,1.2093338,0.5587934,-1.2733786,-0.14052351,-2.5791347,-0.6168707,-0.2984548,-0.081112236,-0.5422225,-0.7457487,-1.3634907,0.80214936,1.3039346,-1.3908191,1.8403635,-0.23311998,-1.8426329,-0.3373707,-1.6205447,-2.107691,0.33185387,-1.8646382,1.8342652,-3.3377552,0.8273871,-1.056933,-2.0014565,-0.84610915,-0.8935753,0.28327146,0.09973974,0.17134625,-0.5489283,-0.20235346
7,-1.3406378,-1.5538881,0.69120413,-0.49592018,-2.315825,-0.34141564,-1.2227585,-2.3432517,1.247161,-0.11374907,0.9696943,-0.99395895,0.20744866,-0.29054734,2.6287873,-1.1526632,1.2044568,0.5583052,-1.2782518,-0.13235971,-2.5803132,-0.61567706,-0.3023654,-0.07588704,-0.54153043,-0.74665856,-1.3663158,0.7971568,1.3038447,-1.3854412,1.8433353,-0.2298488,-1.8306899,-0.3442232,-1.6218271,-2.1056058,0.34035683,-1.8551755,1.8363096,-3.3397338,0.8338103,-1.048722,-2.0075605,-0.8481969,-0.89060634,0.2804519,0.0915638,0.17245969,-0.55234593,-0.20297891
8,-1.3405398,-1.5526608,0.690714,-0.49885663,-2.3176396,-0.3444977,-1.223308,-2.3455665,1.244673,-0.11390576,0.97159547,-0.9937329,0.20806992,-0.2930138,2.6277864,-1.1538697,1.2028148,0.5581408,-1.2798924,-0.12961105,-2.58071,-0.61527514,-0.30368206,-0.07412776,-0.54129744,-0.74696493,-1.367267,0.79547584,1.3038144,-1.3836305,1.8443358,-0.22874743,-1.8266689,-0.34653038,-1.6222589,-2.1049037,0.3432197,-1.8519895,1.8369979,-3.3404,0.83597296,-1.0459574,-2.0096157,-0.84889984,-0.8896067,0.27950257,0.08881103,0.17283458,-0.5534966,-0.20318949
9,-1.3403904,-1.5545331,0.68996626,-0.5033366,-2.320408,-0.34919986,-1.2241461,-2.3490982,1.2408772,-0.1141448,0.97449595,-0.99338806,0.20901774,-0.29677677,2.6262593,-1.1557105,1.2003096,0.55789006,-1.2823956,-0.12541753,-2.5813153,-0.614662,-0.30569082,-0.07144373,-0.54094195,-0.7474323,-1.3687183,0.7929113,1.3037683,-1.3808681,1.8458623,-0.22706711,-1.8205341,-0.3500503,-1.6229177,-2.1038327,0.34758744,-1.8471287,1.838048,-3.3414164,0.8392724,-1.0417397,-2.012751,-0.84997225,-0.88808167,0.27805424,0.08461129,0.17340653,-0.55525213,-0.20351076
