,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-0.76655334,-0.5167901,0.108011335,-0.5442504,-2.1129453,0.23156843,-0.29120666,0.57634634,-1.2133164,-0.22602507,-2.0744965,-1.595653,0.16847007,-2.320192,-0.43714717,1.0083605,-0.2164497,-1.2282169,1.2038077,-1.1011593,-0.9174226,-0.3746247,-2.0571702,0.55446,-1.0223087,-2.217465,0.28334913,-2.0813844,-1.8125032,-0.15203616,-1.0041655,-0.39656347,-0.9318143,-0.28902867,0.995701,-0.7445097,-3.5929418,0.36214054,-1.9912337,-0.67964107,-0.9265046,1.2186859,0.7567487,1.6281638,-0.3760503,-0.6631873,-0.24840628,-0.25075477,1.4284043,0.35004973
1,-0.7677766,-0.51770383,0.10709901,-0.5446282,-2.1117198,0.23155655,-0.2890854,0.5752856,-1.2143939,-0.22692639,-2.0726235,-1.5952023,0.16725117,-2.3197036,-0.43759042,1.0088013,-0.21628946,-1.2287089,1.2024297,-1.1018145,-0.91731083,-0.37613147,-2.058315,0.55423516,-1.0219812,-2.2181242,0.28394598,-2.0797315,-1.8115642,-0.1524996,-1.0031345,-0.39553586,-0.93319505,-0.28894526,0.9939326,-0.7441731,-3.5917225,0.36225465,-1.992623,-0.679584,-0.92603916,1.2180909,0.75697696,1.6292139,-0.3750229,-0.6642373,-0.24765138,-0.25184414,1.4293337,0.34954128
2,-0.770546,-0.537456,0.10401546,-0.5557864,-2.0852828,0.24282838,-0.2472213,0.54365814,-1.2360117,-0.24156205,-2.0261095,-1.566983,0.15200655,-2.3091924,-0.44669592,1.0450015,-0.21816827,-1.2265904,1.1801189,-1.1197268,-0.9172677,-0.39754516,-2.0885854,0.55177575,-0.99248624,-2.2358892,0.31064597,-2.0482247,-1.8017926,-0.16269211,-0.995746,-0.37820002,-0.95461917,-0.305384,0.94463307,-0.7238164,-3.5696635,0.34613305,-2.025389,-0.66911864,-0.9135211,1.1899765,0.77926517,1.6570596,-0.35414553,-0.6996558,-0.24049622,-0.26880756,1.4469671,0.34740692
3,-0.7659536,-0.5478671,0.10616464,-0.5637635,-2.070817,0.25140938,-0.22494854,0.5234807,-1.2467496,-0.24883865,-2.0002475,-1.5466752,0.14629136,-2.3037503,-0.45178205,1.071265,-0.2199684,-1.2229394,1.1701336,-1.1307967,-0.917819,-0.4059907,-2.1069517,0.55084133,-0.9712714,-2.2458894,0.32878208,-2.0316377,-1.7993363,-0.16971472,-0.995213,-0.36971754,-0.96326786,-0.31974092,0.9150804,-0.70941716,-3.5584254,0.33161664,-2.0444949,-0.65909994,-0.9051301,1.1706948,0.79552436,1.6738527,-0.3428846,-0.7229086,-0.23884228,-0.27566043,1.4565966,0.3472435
4,-0.7539855,-0.5542339,0.1128513,-0.57310045,-2.0607042,0.26039073,-0.20969541,0.50450313,-1.2522205,-0.25342673,-1.9827908,-1.525223,0.14600939,-2.3004858,-0.45582223,1.0987395,-0.22170217,-1.2176616,1.1666471,-1.1407715,-0.91913354,-0.40677124,-2.1228724,0.55065495,-0.9495989,-2.2527132,0.34678698,-2.0207543,-1.8020923,-0.1778129,-0.99966234,-0.36505532,-0.9640219,-0.33840734,0.8907245,-0.6946528,-3.551487,0.3122858,-2.0602708,-0.6439708,-0.8960014,1.1515807,0.81240433,1.6881324,-0.33510855,-0.7455612,-0.24088383,-0.27612025,1.4638696,0.3474296
5,-0.7447855,-0.55668426,0.1180675,-0.5793721,-2.0560606,0.2656414,-0.20249815,0.4933819,-1.2538223,-0.25552723,-1.9754566,-1.5120951,0.14749193,-2.2991626,-0.45804065,1.1153259,-0.22246782,-1.2144156,1.1666152,-1.1465168,-0.9202151,-0.40481395,-2.1317477,0.5507565,-0.9367731,-2.2556086,0.35757726,-2.0160503,-1.8054335,-0.1831477,-1.0037265,-0.36340925,-0.9618428,-0.35110492,0.87780863,-0.6857894,-3.548573,0.29910102,-2.0689433,-0.6328476,-0.88998324,1.1403513,0.822434,1.6959296,-0.33152288,-0.75911295,-0.24318342,-0.27416915,1.4676447,0.3473171
6,-0.72492397,-0.5598741,0.12938663,-0.5924336,-2.0486686,0.2755052,-0.19049032,0.47201398,-1.2551118,-0.2590049,-1.9650115,-1.4863888,0.15216592,-2.297236,-0.4622029,1.147474,-0.22348288,-1.2083321,1.1688241,-1.157487,-0.9226801,-0.39834496,-2.148303,0.55118686,-0.912269,-2.259782,0.37857038,-2.0089905,-1.813826,-0.19405082,-1.013051,-0.36145708,-0.9546349,-0.37751558,0.85461575,-0.6686381,-3.544223,0.27172682,-2.0851026,-0.6087326,-0.8774928,1.1189501,0.8415969,1.7102293,-0.32574496,-0.7854915,-0.24877933,-0.26778767,1.4744196,0.3466706
7,-0.6988954,-0.55614275,0.14452161,-0.61015797,-2.0485737,0.28248942,-0.18509701,0.45123345,-1.2493808,-0.26085916,-1.9729648,-1.460481,0.16406363,-2.2974088,-0.4663654,1.177906,-0.22120646,-1.2057371,1.1803282,-1.1682931,-0.9269867,-0.38103694,-2.1625342,0.5526196,-0.89115745,-2.256963,0.40022832,-2.011205,-1.8304381,-0.20694222,-1.0274568,-0.36447874,-0.93470216,-0.41188368,0.8393273,-0.65229785,-3.5447412,0.23713459,-2.100022,-0.5724474,-0.86008793,1.1005372,0.85768986,1.7210195,-0.3248564,-0.81288123,-0.2586052,-0.24969412,1.4795821,0.34303597
8,-0.71651393,-0.53989613,0.18295081,-0.58553636,-2.0708313,0.2887342,-0.18888754,0.45636478,-1.2339362,-0.26269656,-1.9774901,-1.397833,0.15702027,-2.2790108,-0.43739387,1.1433663,-0.22772267,-1.232555,1.136042,-1.2075545,-0.9349791,-0.3691262,-2.155532,0.5511592,-0.928603,-2.228811,0.37060782,-1.9830077,-1.827848,-0.18311398,-1.0335535,-0.3672818,-0.9270129,-0.43312806,0.8498888,-0.6645724,-3.523189,0.20380068,-2.1053977,-0.5268651,-0.90203404,1.105336,0.8735375,1.7098132,-0.30122355,-0.7942174,-0.26836225,-0.26063818,1.4760973,0.36729008
9,-0.7388531,-0.50836813,0.22501063,-0.5651111,-2.109002,0.28116187,-0.20399198,0.46266583,-1.2032768,-0.26264864,-2.0161846,-1.3405623,0.1639472,-2.2610521,-0.40692374,1.0897031,-0.22537513,-1.2727113,1.1015635,-1.2453189,-0.9495061,-0.34660798,-2.1427531,0.5543642,-0.9794517,-2.1831894,0.33171844,-1.967953,-1.8354938,-0.15150008,-1.0434704,-0.37698084,-0.9005408,-0.4590973,0.8799788,-0.68525666,-3.50784,0.17144962,-2.1053178,-0.46547207,-0.9406359,1.1224706,0.8738284,1.6837759,-0.28900668,-0.7699253,-0.28413388,-0.25648805,1.4707129,0.39064083
