,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-1.2752397,-1.6312659,0.50285393,-0.40763804,-2.14666,-0.58812284,-1.0705729,-2.075652,1.2086384,-1.008175,0.9540705,-1.030863,0.4767574,-0.23608485,2.0896733,-1.0177761,1.0199413,0.6842722,-1.2420281,0.140747,-2.1937578,-0.5047316,-0.7264655,-0.2985679,-0.6816151,-1.0559607,-1.6037629,0.69482994,1.5949681,-1.6681347,1.8855686,-0.48851377,-1.6902071,-0.23433366,-1.5901382,-2.0044346,-0.13342816,-1.4194211,1.3576055,-3.200227,0.5975352,-1.0663894,-2.0504594,-0.75683236,-0.7974749,0.49104172,0.1665457,0.27971148,-0.44761142,-0.61867803
1,-1.2785482,-1.6473475,0.48595288,-0.39304045,-2.1202521,-0.5884295,-1.0837365,-2.08649,1.2230766,-1.033525,0.922824,-1.0094016,0.50417316,-0.22065131,2.0531209,-1.0230824,0.9842892,0.7013645,-1.267419,0.13030902,-2.1997833,-0.5007292,-0.72168064,-0.26355648,-0.6501087,-1.0380229,-1.6168876,0.7287445,1.5992614,-1.6334119,1.8548776,-0.49012914,-1.7063181,-0.23172908,-1.5776038,-2.0235133,-0.15570459,-1.4287232,1.3970348,-3.1731086,0.5972636,-1.0698862,-2.0476253,-0.73967123,-0.80539936,0.50299287,0.16809355,0.2924466,-0.42886177,-0.65655774
2,-1.2770168,-1.6501724,0.48086616,-0.38503823,-2.1076033,-0.589181,-1.0902249,-2.0880036,1.2267023,-1.0417984,0.9114106,-1.0000236,0.51734525,-0.21341383,2.0396698,-1.0276221,0.96854335,0.70765096,-1.2795364,0.1232205,-2.202193,-0.50052524,-0.7173265,-0.2509042,-0.63837296,-1.0276268,-1.6231171,0.7443456,1.6006426,-1.6180987,1.8425862,-0.48916328,-1.7155681,-0.23247227,-1.5735984,-2.0269616,-0.16572057,-1.4336287,1.4132203,-3.162641,0.6006943,-1.0758827,-2.0489812,-0.73034817,-0.8114005,0.50719637,0.16817456,0.2968109,-0.42047668,-0.67432314
3,-1.2902659,-1.6711894,0.4792703,-0.3651375,-2.1068597,-0.6059556,-1.0682834,-2.0912843,1.1775569,-1.0286014,0.9891817,-1.0066774,0.5061049,-0.2240785,2.0309255,-1.0342789,0.9877996,0.6831633,-1.2624843,0.11817806,-2.2181852,-0.49119192,-0.70865273,-0.2203631,-0.6292642,-1.0188605,-1.6013161,0.73667485,1.5467416,-1.6273583,1.8196937,-0.47226873,-1.7249985,-0.24852239,-1.5973413,-2.0336354,-0.2059545,-1.4495403,1.392805,-3.1549714,0.6241013,-1.103471,-2.067445,-0.7316497,-0.79271036,0.52430636,0.19055945,0.2829926,-0.40417707,-0.65143985
4,-1.2900198,-1.67316,0.48243493,-0.35247684,-2.1020174,-0.6185823,-1.056377,-2.0866463,1.1456021,-1.0139394,1.0358024,-1.008986,0.50285524,-0.22969525,2.0308192,-1.0440598,0.9968229,0.6671033,-1.2560939,0.110172704,-2.2259538,-0.4898469,-0.69926363,-0.2073646,-0.6298169,-1.0081241,-1.5889537,0.73529035,1.517615,-1.6304176,1.8100797,-0.46034768,-1.735947,-0.262039,-1.6130431,-2.0269933,-0.22814408,-1.4601104,1.3791256,-3.1555257,0.6429669,-1.1262912,-2.084148,-0.72812086,-0.7889132,0.5335311,0.20199434,0.27253807,-0.39669716,-0.641602
5,-1.2865633,-1.6709512,0.4869434,-0.34056923,-2.0953956,-0.63186103,-1.0453101,-2.0799227,1.1146489,-0.9974732,1.0796938,-1.0101947,0.50098705,-0.23488705,2.032643,-1.0557961,1.0039927,0.6514663,-1.2514528,0.100510694,-2.2326634,-0.49029884,-0.68894017,-0.1965062,-0.6330093,-0.9957035,-1.5771102,0.73529845,1.4915375,-1.6321614,1.8025645,-0.44884822,-1.7485733,-0.27625984,-1.628409,-2.0169728,-0.24823649,-1.4708763,1.3658295,-3.158231,0.66254014,-1.149673,-2.1021454,-0.7232609,-0.7882493,0.5420276,0.21206348,0.2617769,-0.39085323,-0.6342756
6,-1.2708864,-1.6541326,0.49753267,-0.3278451,-2.0792906,-0.6535592,-1.0317962,-2.0642364,1.0759225,-0.96882075,1.1307597,-1.0069917,0.5024978,-0.2412469,2.041581,-1.0795096,1.006353,0.63155967,-1.2505548,0.08080494,-2.2387521,-0.49717543,-0.67234993,-0.18629643,-0.647508,-0.9721913,-1.5607319,0.7399835,1.466332,-1.629706,1.799099,-0.43609187,-1.7725296,-0.29803243,-1.6483904,-1.9932357,-0.2684448,-1.4879252,1.3495098,-3.1697102,0.6917992,-1.1817884,-2.1315434,-0.71274954,-0.79784644,0.5517321,0.22143167,0.24574558,-0.38931414,-0.6345472
7,-1.2460392,-1.6262923,0.5116687,-0.32150596,-2.057448,-0.6777381,-1.0198829,-2.0439317,1.0452452,-0.93777573,1.1679562,-0.99770737,0.5070422,-0.24693948,2.056454,-1.1097424,0.999608,0.6155693,-1.2545183,0.054931913,-2.2421768,-0.50955254,-0.6568014,-0.17784585,-0.6721924,-0.9430704,-1.5426849,0.7479216,1.4540101,-1.6228455,1.8022718,-0.43015295,-1.8020164,-0.31948003,-1.6651163,-1.9644883,-0.27863076,-1.5083054,1.3380702,-3.18806,0.72142035,-1.2084492,-2.1632118,-0.7008523,-0.81599045,0.5585261,0.22544588,0.22998354,-0.3951689,-0.648582
8,-1.2428739,-1.6228122,0.51338,-0.32176843,-2.054978,-0.68019474,-1.0188806,-2.041571,1.0433888,-0.934903,1.1698731,-0.99610555,0.507683,-0.24743174,2.0585177,-1.1132467,0.99795496,0.61462504,-1.255337,0.051747646,-2.2423587,-0.5112018,-0.655777,-0.17685565,-0.6756163,-0.93967164,-1.5405295,0.74879444,1.4541863,-1.6218672,1.8031939,-0.4306188,-1.8053523,-0.32130304,-1.6662059,-1.9617065,-0.27838513,-1.5108074,1.3377444,-3.1904464,0.7242964,-1.2100867,-2.1663375,-0.69980866,-0.8183243,0.55878,0.22522642,0.2286345,-0.39650244,-0.65172195
9,-1.2422585,-1.6258419,0.515345,-0.31536147,-2.0549378,-0.6715633,-1.0273447,-2.0582201,1.0367209,-0.9322648,1.1694183,-0.9948033,0.49630344,-0.23818053,2.0608408,-1.1000214,1.0061244,0.6288846,-1.2579204,0.064994484,-2.2330725,-0.50263697,-0.6635995,-0.1683628,-0.6634577,-0.9419459,-1.5483304,0.74516463,1.4654446,-1.6203363,1.8006507,-0.41596076,-1.8047343,-0.3158611,-1.6700503,-1.9529344,-0.27933195,-1.5105416,1.3325173,-3.1875844,0.73207253,-1.2103467,-2.154994,-0.70872116,-0.8088193,0.55809945,0.22413893,0.23913056,-0.3896443,-0.6555526
10,-1.2351937,-1.6272515,0.52263534,-0.3120445,-2.0524125,-0.64950836,-1.0502394,-2.0962665,1.0395513,-0.931363,1.1409173,-0.9832542,0.47086167,-0.21411945,2.0726793,-1.0719782,1.0138483,0.6727941,-1.2701317,0.09021759,-2.2078664,-0.48654,-0.6900803,-0.14689311,-0.6448378,-0.9437165,-1.5637819,0.73563796,1.5120484,-1.6128317,1.801861,-0.39475307,-1.8037113,-0.2974989,-1.6712472,-1.9342054,-0.26474962,-1.513572,1.3312825,-3.186693,0.74739796,-1.1941199,-2.1246216,-0.7321962,-0.7919884,0.5504536,0.21263833,0.26842788,-0.38172245,-0.6841997
