,0,1,2,3,4,5,6,7,8,9
0,-3.3320246,1.3611802,0.8418664,1.136917,-1.195041,-1.0488399,1.6001416,-2.3472128,-1.1755042,-0.17228286
1,-3.262898,1.352781,0.9094637,1.1879455,-1.317027,-1.0235399,1.6360222,-2.4123318,-1.2161517,-0.24925332
2,-3.2157373,1.3455864,0.95530844,1.2227932,-1.3985318,-1.0062838,1.6600889,-2.4558518,-1.2424133,-0.30190668
3,-3.140243,1.3322791,1.0283631,1.2786281,-1.5269116,-0.9786603,1.6981193,-2.5244136,-1.2826648,-0.38638166
4,-3.0238957,1.3047334,1.139644,1.3649384,-1.7165977,-0.93605405,1.7548378,-2.625763,-1.3377289,-0.5174075
