,0,1,2,3,4,5,6,7,8,9
0,-1.2477136,-1.6699493,-0.7674543,-0.48763356,-1.7649413,-5.290444,3.0140762,-1.9584094,-0.057832316,-3.027962
1,-1.2243497,-1.7573527,-0.6346442,-0.58636695,-1.6001221,-5.2474403,2.776104,-2.1845787,-0.26765633,-3.1706696
2,-1.1333015,-1.8634329,-0.5798161,-0.6332881,-1.5005964,-5.2018747,2.5564885,-2.3612213,-0.35532892,-3.332207
3,-0.95237833,-1.9940692,-0.5403995,-0.6600686,-1.3800982,-5.0639105,2.2273607,-2.5432885,-0.40000632,-3.5199401
4,-0.9418762,-2.0032659,-0.54424065,-0.65905315,-1.3810655,-5.064678,2.2176516,-2.551237,-0.3945919,-3.5339072
5,-0.96696484,-1.9544654,-0.5610781,-0.5765661,-1.4215174,-5.1127048,2.2350006,-2.5901704,-0.40416354,-3.5979729
6,-0.9021584,-1.8843701,-0.5268264,-0.65793735,-1.4287138,-5.1426716,2.2022295,-2.591971,-0.45062086,-3.620786
7,-0.5158425,-1.5724741,-0.4674761,-0.9794604,-1.5410135,-5.2454967,2.0816824,-2.498583,-0.4898339,-3.7064803
8,-0.57262516,-1.8206184,-0.34938076,-0.6557451,-1.8292736,-4.7207685,2.0307372,-2.7396998,-0.41492584,-3.1804187
9,-0.60361874,-1.9793438,-0.43978897,-0.51937824,-1.9629261,-4.7219195,2.1310463,-2.7812197,-0.2568354,-3.1609209
10,-0.51194596,-1.9587371,-0.42639142,-0.49756315,-1.9921988,-4.701148,2.1376433,-2.7007565,-0.28930524,-3.1552427
11,-0.16672349,-1.9268034,-0.4713982,-0.39610916,-2.1234171,-4.7455325,2.2448032,-2.3512046,-0.31715277,-3.2490857
12,0.19342712,-1.881273,-0.5749669,-0.26712203,-2.2231405,-4.766243,2.36117,-1.9055616,-0.27352133,-3.3505926
13,0.48839855,-1.8776742,-0.8734319,-0.09198877,-2.2614005,-4.879484,2.5610027,-1.3616661,-0.011175255,-3.5723627
14,0.4810748,-1.873201,-0.86371315,-0.09506586,-2.2645319,-4.878297,2.5660338,-1.3603142,-0.00873742,-3.5677848
15,0.21264859,-1.7314293,-0.57458305,-0.19403973,-2.3235934,-4.8102155,2.695133,-1.3421886,0.084352165,-3.4033272
16,-0.5631692,-1.5546387,-0.20394473,-0.39878672,-2.22728,-4.671999,2.8218899,-1.5703642,0.38285336,-3.098703
17,-1.5626252,-1.6361272,-0.29832497,-0.56391823,-1.7484438,-4.5489035,2.6340415,-2.2283993,0.79211146,-2.894188
18,-1.7153485,-1.9922832,-0.8613277,-0.52328855,-1.3963506,-4.703378,2.3027115,-2.7084858,0.8748522,-3.1340606
19,-1.6252962,-2.110401,-1.1043706,-0.47456017,-1.2619998,-4.6992297,2.1199453,-2.7970326,0.8448588,-3.2172601
20,-1.3173754,-2.2251928,-1.4522085,-0.36708224,-1.0703537,-4.5736027,1.7895696,-2.776747,0.72597307,-3.2886643
21,-0.8217177,-2.2853606,-1.6736902,-0.26340717,-1.131937,-4.603242,1.6749074,-2.5743587,0.53870517,-3.473762
22,-0.44956878,-2.2668955,-1.7592189,-0.19186768,-1.2000151,-4.562352,1.6128542,-2.356469,0.39493227,-3.547823
23,0.38744602,-2.07333,-1.7110848,-0.06184063,-1.5224091,-4.452705,1.6722556,-1.697305,0.07346877,-3.6415634
24,0.5647125,-1.9062212,-1.3819755,-0.08751088,-2.052515,-4.783378,2.262403,-1.3910342,0.040074915,-3.8235214
25,0.56295717,-1.7738552,-1.1630331,-0.10867503,-2.2405584,-4.8178654,2.5029752,-1.2445881,0.050353117,-3.7863338
26,0.4036567,-1.6636842,-0.9227104,-0.15028512,-2.3821766,-4.869277,2.7571313,-1.2074523,0.11941489,-3.7122178
27,0.19289663,-1.5755142,-0.72062504,-0.19012854,-2.4315143,-4.857934,2.9188168,-1.2274362,0.20125006,-3.5901806
28,-0.13662076,-1.5148953,-0.5268386,-0.2393987,-2.396498,-4.815857,3.0287032,-1.344497,0.32186088,-3.4134643
29,-0.3388218,-1.5220175,-0.46458292,-0.2654371,-2.339011,-4.807713,3.0489964,-1.462766,0.39360848,-3.330893
30,-0.21535252,-1.5499977,-0.4331443,-0.30412954,-2.2789612,-4.8238583,2.995871,-1.4246086,0.39536127,-3.2346952
31,0.40626293,-2.0145683,-0.55356336,-0.53075635,-1.7495542,-5.1449866,2.4997768,-1.5670618,0.43555886,-2.8670588
32,0.49503747,-2.607795,-1.146524,-0.6276082,-0.9395389,-5.2580914,1.6701854,-2.2124987,0.47970152,-2.8071005
33,0.21421857,-2.6344995,-1.3279765,-0.5794439,-0.9645419,-5.28877,1.6909088,-2.4237244,0.49249825,-3.0857983
34,0.67362964,-2.6051602,-1.1869541,-0.30397132,-1.3206445,-5.19023,1.8226482,-2.1923213,0.40097174,-3.1104965
35,0.671997,-2.4946053,-1.1150563,-0.19319578,-1.5436728,-5.1156034,1.9827843,-2.087627,0.37262526,-3.2040849
36,0.5336238,-2.2146473,-1.0593264,-0.083542116,-1.3097941,-5.0605693,2.1662688,-2.1753008,0.55566436,-3.0200047
37,0.17605565,-1.8599811,-1.0145566,0.011383641,-1.1290147,-5.063425,2.4918578,-2.3140578,0.7761225,-2.9531915
38,-0.39840207,-1.3701123,-0.948068,0.09728009,-0.9562976,-4.982467,2.8910077,-2.4408593,1.017779,-2.9078417
39,-1.5322701,-0.8840158,-0.9184917,-0.004275178,-1.1997586,-4.92491,3.3835547,-2.49301,1.0932683,-3.3324564
40,-1.8632474,-1.1025764,-0.95430243,-0.25056937,-1.7252351,-4.8043423,3.1405046,-2.2417786,0.73014724,-3.7490075
41,-1.8383485,-1.2446077,-0.9543837,-0.34829944,-1.9058756,-4.637691,2.8862302,-2.0627053,0.5304509,-3.8034055
42,-1.794103,-1.2435561,-0.91219026,-0.3953545,-1.8372824,-4.674593,2.8595033,-2.037625,0.47771454,-3.7305028
43,-1.4833907,-1.2924911,-0.7366813,-0.58206964,-1.5217177,-4.8049107,2.6720033,-1.9131304,0.241236,-3.3610353
44,-0.9138556,-1.6007794,-0.67873424,-0.6964834,-1.3143032,-5.0980086,2.4478562,-1.8915478,0.056100916,-3.1072743
45,-0.39836404,-1.9004611,-0.68241864,-0.73199725,-1.2037342,-5.2956476,2.2493782,-1.898789,-0.044582307,-2.9462821
46,-0.08309483,-2.1319182,-0.74009484,-0.71251416,-1.2153976,-5.4489307,2.1687927,-1.956258,-0.0533635,-2.950121
47,-0.11312806,-2.3117864,-0.62523335,-0.6717387,-1.2434046,-5.455095,2.0642273,-1.978744,-0.124103546,-2.9856129
48,-0.20290013,-2.6357846,-0.42207482,-0.56328565,-1.3291957,-5.404806,1.8716902,-2.0240092,-0.22672091,-3.0797174
49,-0.2322176,-2.6227992,-0.41999677,-0.5703409,-1.327141,-5.3731604,1.8556073,-2.0263934,-0.25398773,-3.0685244
50,-0.69648725,-2.4207625,-0.59595877,-0.61339146,-1.510246,-5.1439986,1.9342935,-2.189257,-0.39099044,-3.2368646
