,0,1,2,3,4,5,6,7,8,9
0,-2.2291179,-2.4934573,0.03219163,0.13697965,-1.3894312,1.2574822,-2.0632071,1.8040426,-1.3466601,0.39185512
1,-2.2733092,-2.505107,-0.027917404,0.14489633,-1.4217194,1.2573494,-2.2905617,1.8512768,-1.2216611,0.25511503
2,-2.5432136,-2.8327868,-0.34963593,0.08231748,-1.2342529,1.1290523,-2.2487748,1.7835319,-1.0318781,0.17041038
3,-2.8182425,-3.1926866,-0.6719885,0.024891885,-0.9650134,0.9920652,-2.0423954,1.6750764,-0.9067052,0.17828573
4,-2.6493845,-3.2365954,-0.42143655,0.17383574,-0.32047373,1.1289417,-0.99823356,1.4212441,-1.4433662,0.82877403
5,-2.592004,-3.2122297,-0.33836123,0.14073932,-0.37891382,1.1784827,-1.0242988,1.4163235,-1.4615438,0.79425967
6,-2.5397747,-3.089636,-0.3137292,0.103132136,-0.34232372,1.1947165,-1.035003,1.347644,-1.428202,0.8503156
7,-2.338832,-2.66069,-0.1887221,-0.065528326,-0.33120108,1.2739701,-1.1827048,1.139934,-1.290206,0.9493534
8,-2.246005,-2.8175926,-0.41422012,0.056508172,-0.83681303,1.4088945,-0.54109013,1.3295436,-1.5837934,1.1036496
9,-2.2227352,-3.1657262,-0.3698555,0.004750562,-1.5262194,1.4792271,-0.65443486,1.6336861,-1.6756707,0.7087115
10,-2.2078924,-3.344363,-0.2971194,-0.03594324,-1.8631207,1.4811935,-0.8581106,1.7843796,-1.6781683,0.44901845
11,-2.1419454,-3.5341744,0.02633031,-0.106813066,-2.2019558,1.2702602,-1.8367661,1.9432106,-1.4786686,-0.10050652
12,-2.115865,-3.0379388,0.17197205,0.096416816,-1.4656987,0.7560124,-2.7092683,1.6764838,-1.2318158,0.10518874
13,-2.1990764,-2.814258,0.09390876,0.16981518,-1.1110026,0.6650664,-2.6999054,1.5687629,-1.2000393,0.28720963
14,-2.1954443,-2.7978094,0.18108664,0.14364326,-1.113621,0.6501839,-2.7609112,1.6073512,-1.1915438,0.3342115
15,-2.4316282,-2.7753642,0.38505325,-0.10675711,-1.1520609,0.95420766,-2.2492437,1.9021351,-1.279473,0.6825579
16,-2.6285436,-2.6627166,0.5398915,-0.0696333,-1.2730241,1.0434659,-2.7436082,1.7316575,-1.3955778,0.7756621
17,-2.4931617,-2.9203148,0.49880448,-0.28348008,-1.1126834,0.7031681,-2.951509,1.7492334,-1.3647149,0.86937284
18,-2.0939176,-3.6166322,-0.3914829,-0.5117425,-0.6936941,0.37050945,-2.2601385,1.6291295,-1.2660812,0.6533973
19,-1.89612,-3.7970223,-1.0356903,-0.37733367,-0.55050135,0.6506638,-1.322023,1.4818362,-1.339909,0.27522606
20,-1.9759953,-3.3442378,-0.9214414,-0.009169923,-0.7394314,1.325788,-0.74496764,1.3972138,-1.564025,-0.0039329506
21,-2.1905615,-2.7470925,-0.3884771,0.2916362,-1.0369295,1.8651392,-0.6465703,1.3880731,-1.7114228,-0.05046985
22,-2.5719523,-2.1706214,0.5404292,0.37715438,-1.4169543,1.9730583,-1.2503238,1.4876254,-1.5956229,0.3049477
23,-2.8373368,-2.2414086,0.8786089,0.15204816,-1.5516795,1.4316275,-2.0727918,1.6181487,-1.1951277,0.7988605
24,-2.8643656,-2.582145,0.5930563,-0.008163663,-1.4704007,1.007135,-2.3844118,1.6752739,-0.96191746,0.95859015
25,-2.7663064,-2.5124307,0.39138466,-0.29198804,-1.2911296,0.7875015,-1.9260997,2.0007772,-1.0894607,0.8905957
26,-2.5899282,-2.4786541,0.04533784,-0.5876748,-1.0436996,0.5868415,-1.3189645,2.3448448,-1.2730912,0.73296434
27,-1.7530805,-2.9664805,-1.0861889,-0.31890267,-0.57966226,1.1585784,-0.5625214,1.9544016,-1.6296011,-0.12509155
28,-1.7450645,-3.0273597,-1.0243809,-0.24421105,-0.60763633,1.2248363,-0.71031,1.8173009,-1.62461,-0.119522244
29,-1.7842499,-2.8970704,-0.18497612,0.2844235,-0.91406286,0.50316644,-0.71264535,1.7959133,-1.2093174,-0.6918666
30,-2.2392616,-2.7752197,0.7398743,0.69651717,-1.4055839,0.11877642,-1.4796064,1.4955083,-0.94172114,-0.39596108
31,-2.8472424,-2.7592423,0.8176649,0.6747658,-1.7381352,0.52499926,-2.3294532,1.1923492,-1.0481424,0.6204797
32,-3.0999024,-2.8604853,0.2111905,0.29856756,-1.6658937,1.301238,-2.5182042,1.2312987,-1.246087,1.2834302
33,-3.0984242,-2.9585676,-0.32262287,-0.050133552,-1.4532549,1.8585967,-2.3977304,1.3971109,-1.3612115,1.4930223
34,-2.9283957,-3.0388076,-0.7207466,-0.34534845,-1.1568972,2.1985676,-2.113547,1.624857,-1.4094901,1.3870828
35,-2.6445956,-3.0965598,-0.9900606,-0.58568406,-0.805118,2.349344,-1.743993,1.8746632,-1.4207867,1.0704923
36,-2.0318446,-3.0963638,-0.9884608,-0.7243408,-0.24014251,2.0191376,-1.1355342,2.1810367,-1.3966182,0.21689816
37,-1.9433566,-3.053955,-0.81769824,-0.6130144,-0.22642228,1.7337009,-1.1149238,2.117123,-1.4163474,0.054904167
38,-2.0646775,-3.0625806,-0.73931354,-0.6399482,-0.09265447,1.7248497,-1.0543287,2.1468315,-1.4885838,-0.06127769
39,-3.1337223,-3.013087,0.18936254,-0.32545105,0.16131446,1.2123207,-1.2443008,1.7913951,-1.9724784,-0.340711
40,-3.310393,-2.9479053,0.7773035,0.45704678,-0.59142864,0.7342085,-2.016747,0.94329005,-1.625751,0.29772544
41,-2.7303174,-2.9656374,0.5431773,0.774202,-1.5218296,0.77507627,-2.3294644,0.7248815,-0.9460143,0.865761
42,-2.039527,-2.9854846,-0.2025185,0.501206,-2.222183,1.123812,-2.0181868,1.2884742,-0.54857236,1.0008696
43,-1.790482,-2.9222417,-0.7880062,-0.004789101,-2.2635777,1.3855976,-1.4941366,2.0458941,-0.7737972,0.7573462
44,-1.8882298,-2.8318708,-0.9180132,-0.31750962,-1.8559211,1.4342144,-1.225707,2.395172,-1.2187083,0.48610535
45,-1.8386673,-2.851711,-1.0005559,-0.32220516,-1.7870083,1.5563025,-1.1919304,2.4656298,-1.2174623,0.5300694
