,0,1,2,3,4,5,6,7,8,9
0,-1.9882035,0.16235831,0.338845,1.6652668,-2.10037,-3.4197438,-1.4602032,-1.3379662,-4.0514607,-2.1005256
1,-2.0122626,0.12763675,0.33729607,1.6588594,-2.1130261,-3.4114923,-1.4633224,-1.3187879,-4.0433006,-2.1003053
2,-2.0369825,0.08770866,0.38669822,1.6784353,-2.1378222,-3.4239302,-1.4821908,-1.3177094,-4.024293,-2.073181
3,-2.0335138,0.090363726,0.42107302,1.6960267,-2.1443586,-3.438963,-1.4928386,-1.3300272,-4.0201817,-2.0555449
4,-2.0294874,0.09529157,0.43434614,1.7033676,-2.145551,-3.445565,-1.4967389,-1.3363613,-4.0197887,-2.0489156
5,-2.0236633,0.102853514,0.44696742,1.7107738,-2.145712,-3.452426,-1.5003226,-1.3435416,-4.020289,-2.0427501
6,-2.0071218,0.12527914,0.46709177,1.7242124,-2.142484,-3.4654546,-1.5056872,-1.3591927,-4.0241833,-2.0334332
7,-1.9727603,0.17344208,0.47134015,1.7346784,-2.1272655,-3.4768996,-1.505963,-1.3807801,-4.03734,-2.0336928
8,-1.9422631,0.2161986,0.4384572,1.7286718,-2.1057198,-3.4715602,-1.4962996,-1.3916469,-4.0513763,-2.0529892
9,-1.9330044,0.22776756,0.3809842,1.7086468,-2.0886626,-3.4498844,-1.4802114,-1.387699,-4.05586,-2.0831559
10,-1.9527947,0.19759981,0.3411448,1.6894947,-2.0887747,-3.4278736,-1.4682224,-1.3736532,-4.0459456,-2.1012146
11,-1.9814926,0.15548836,0.32318985,1.6762196,-2.097692,-3.412945,-1.4614114,-1.3584456,-4.0325685,-2.106778
12,-2.0117528,0.11333751,0.34011677,1.6740087,-2.1148462,-3.4127874,-1.4630333,-1.3455898,-4.021315,-2.0936718
13,-2.0232115,0.09849601,0.35827988,1.6765736,-2.1238508,-3.417863,-1.4665269,-1.3410118,-4.0187364,-2.0824983
14,-2.0436294,0.07325152,0.4018093,1.6842518,-2.142267,-3.4317732,-1.4755474,-1.3328857,-4.0159416,-2.0567372
15,-2.0230484,0.11199438,0.46079952,1.7034162,-2.14533,-3.4622734,-1.4935256,-1.3376454,-4.0381703,-2.0298536
16,-1.991545,0.16219807,0.4774159,1.7145435,-2.1343043,-3.4764874,-1.5032454,-1.3481811,-4.0564103,-2.028099
17,-1.96288,0.20322548,0.45913655,1.7178649,-2.1171317,-3.474388,-1.5047194,-1.3610224,-4.063462,-2.0451558
18,-1.9456396,0.22481196,0.43039227,1.7169746,-2.1031282,-3.4651177,-1.5016352,-1.3714615,-4.061537,-2.0653393
19,-1.9384392,0.22857368,0.39207977,1.7128131,-2.0920196,-3.4494567,-1.4941711,-1.3805337,-4.050952,-2.0882115
20,-1.9504988,0.19515131,0.3274798,1.7016194,-2.085386,-3.4183302,-1.4754176,-1.3889966,-4.0206256,-2.119473
21,-2.0048392,0.103672884,0.33704567,1.6916207,-2.1164637,-3.4138641,-1.45897,-1.3697085,-4.0012193,-2.0917683
22,-2.0274165,0.07749263,0.38824093,1.6890001,-2.1384037,-3.4336975,-1.4623286,-1.3473976,-4.018791,-2.0520458
23,-2.026609,0.09247766,0.43258175,1.6893865,-2.1453938,-3.4537375,-1.4734372,-1.333366,-4.044098,-2.0272632
24,-2.0094893,0.13481228,0.46133694,1.6919171,-2.1391947,-3.4685078,-1.4887354,-1.3291559,-4.0675898,-2.0210044
25,-1.9719739,0.211233,0.46536276,1.6988305,-2.1147692,-3.473618,-1.509729,-1.3410561,-4.082264,-2.0438247
26,-1.9466759,0.24115331,0.39773571,1.7118894,-2.0861032,-3.4440334,-1.5101596,-1.3800014,-4.0385137,-2.1066186
27,-1.9616286,0.18874496,0.35527703,1.7170202,-2.0936568,-3.4249308,-1.4888691,-1.3919461,-4.0022435,-2.118793
28,-1.9768845,0.14686269,0.3441282,1.7162491,-2.1060507,-3.4203482,-1.4738327,-1.388867,-3.9921331,-2.1093256
29,-1.988803,0.11778714,0.3457972,1.713132,-2.117271,-3.4216597,-1.4640064,-1.3810959,-3.9938107,-2.0942984
30,-2.0044694,0.08323675,0.35751098,1.7063036,-2.1332295,-3.427824,-1.4529182,-1.3658429,-4.0052094,-2.0674913
31,-2.0135124,0.07685231,0.39333993,1.6924605,-2.144754,-3.4444606,-1.4530379,-1.3418543,-4.040622,-2.0313392
32,-2.0111532,0.096787944,0.4168048,1.6844964,-2.1427045,-3.4541461,-1.4619844,-1.332295,-4.062612,-2.0197883
33,-2.0065703,0.1221897,0.43723804,1.6780168,-2.1376328,-3.4620311,-1.4729044,-1.326268,-4.080802,-2.0141382
34,-1.9890724,0.19265239,0.4595736,1.6741621,-2.1143496,-3.4671338,-1.5022585,-1.3330752,-4.0927486,-2.033195
35,-1.9708573,0.24339993,0.4312633,1.6951852,-2.0862813,-3.4486313,-1.5239003,-1.3710383,-4.0433617,-2.0969062
36,-1.9708335,0.21833439,0.39986277,1.712556,-2.0906718,-3.4370508,-1.5125558,-1.3837659,-4.010686,-2.1151676
37,-1.9714688,0.1989201,0.37974188,1.7233937,-2.0950127,-3.4301023,-1.5037202,-1.3905215,-3.9910672,-2.1244595
38,-1.9778719,0.13576925,0.34998527,1.7358811,-2.1174967,-3.425361,-1.4737899,-1.3848376,-3.9785798,-2.1116235
39,-1.9786993,0.13014391,0.35030887,1.7347343,-2.1201353,-3.4264655,-1.4709035,-1.3819115,-3.982338,-2.10651
40,-1.9704815,0.12644506,0.3434209,1.7303835,-2.1531334,-3.4352672,-1.496799,-1.3957934,-3.9684846,-2.096619
41,-1.9584669,0.14806455,0.37708005,1.6968458,-2.1863384,-3.4627352,-1.5355754,-1.389637,-4.0056467,-2.051408
42,-1.9586056,0.16372085,0.40537643,1.677965,-2.1795828,-3.4728713,-1.5389333,-1.3748225,-4.0387726,-2.0308125
43,-1.9656069,0.17791015,0.43514872,1.6631112,-2.153847,-3.4761136,-1.526778,-1.3546996,-4.0731378,-2.0189443
44,-1.9866116,0.18187666,0.45556074,1.6625619,-2.1013439,-3.4633534,-1.488991,-1.3333219,-4.0937576,-2.0299664
45,-2.0097485,0.1715026,0.45019904,1.6783514,-2.0602372,-3.442175,-1.452215,-1.3267398,-4.0842123,-2.0576124
46,-2.0262842,0.15356326,0.42412612,1.7026186,-2.0458248,-3.4218698,-1.4308363,-1.3347338,-4.054161,-2.0886416
47,-2.0275104,0.1389583,0.39199072,1.7228737,-2.0627384,-3.4126968,-1.4337025,-1.3506844,-4.0229106,-2.107063
48,-2.0139523,0.12582985,0.34962073,1.7431027,-2.1083887,-3.4119315,-1.457122,-1.3750348,-3.987201,-2.1175869
49,-1.9687272,0.13923495,0.34101117,1.732374,-2.17096,-3.4397695,-1.5070014,-1.3868333,-3.9943771,-2.0874088
50,-1.9292588,0.1658986,0.37539333,1.699476,-2.1929271,-3.4721394,-1.5388694,-1.3781545,-4.033869,-2.0435462
