,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,-1.1758432,-1.4840333,-1.4925462,-2.1890457,-0.38937703,-0.58075595,-1.8112375,-0.93585324,-0.4833504,1.2317708,0.749442,0.12967981,-0.3639418,-1.6938019,-1.7409787,0.8448193,-0.5146091,-1.8067724,1.378232,-1.366848,-0.7840763,-0.027555415,-0.81355757,-0.96778166,0.9815364,-1.4597324,-2.1262777,0.26323885,-1.1186825,-1.2200247,0.47177085,-0.3799227,-0.5854654,-0.008829566,0.5212104,-0.611885,-0.94810295,-0.14802635,-0.4924492,0.30743018,0.3831096,-0.5846316,-0.6283032,-2.60311,-1.12594,0.85309297,-1.376845,-3.3631635,-0.8001193,-0.9801284
1,-1.0553381,-1.6534274,-1.4845312,-1.9958457,-0.20663737,-0.89451545,-1.6952311,-0.7912287,-0.27094817,1.1873921,0.7215451,0.12802105,-0.17095862,-1.6612461,-1.5876424,0.7712311,-0.5504256,-1.7196082,1.258753,-1.2514324,-1.0483735,0.17074755,-0.70816493,-0.96786225,1.08681,-1.947336,-2.3138003,0.45964336,-0.82039696,-1.1880386,0.28243992,-0.06844203,-0.4811161,-0.059452187,0.48325253,-0.6265356,-0.88746166,-0.6426138,-0.43836293,0.4012424,0.5766476,-0.6146191,-0.48338792,-2.122551,-1.1622795,0.95632505,-1.2504959,-3.4867454,-0.753144,-1.0296977
2,-1.126876,-1.7064838,-1.5964067,-1.9249028,0.05476839,-0.807823,-1.9485599,-0.9035043,-0.16037402,1.4099083,0.59323627,0.25731495,-0.18691778,-1.7033113,-1.5669563,0.6601218,-0.59551775,-1.8127252,1.3091301,-1.3960478,-0.9946855,0.027292304,-0.75566137,-0.99314034,1.0077713,-2.1495566,-2.1844065,0.37657273,-0.9903821,-1.2565826,0.32623157,0.018281238,-0.5093235,0.0069678333,0.31350076,-0.7793076,-0.88459164,-0.52013606,-0.36233395,0.3737835,0.52860105,-0.89642817,-0.4787017,-2.1083016,-1.1573718,0.9580009,-1.1692157,-3.3118455,-0.80118865,-1.1596276
3,-1.1516793,-1.7323363,-1.6455271,-1.8914018,0.17613325,-0.76697797,-2.0688975,-0.9602517,-0.107772864,1.511587,0.52567303,0.31665075,-0.19294105,-1.7182505,-1.5548141,0.60703945,-0.6210046,-1.8500496,1.331374,-1.4709312,-0.96523887,-0.04270051,-0.78013897,-1.0061301,0.96621966,-2.2436004,-2.1184053,0.33574563,-1.0801618,-1.2912542,0.352735,0.05853333,-0.52643585,0.043284282,0.2342305,-0.8531508,-0.88384825,-0.4568016,-0.31937397,0.36174992,0.5022715,-1.0337473,-0.47440007,-2.1020765,-1.1558925,0.9543938,-1.1243936,-3.215691,-0.8239615,-1.2203703
4,-1.1492553,-1.7559701,-1.6777432,-1.8623099,0.27549055,-0.73181164,-2.1752794,-1.0198126,-0.061380748,1.5908381,0.44809243,0.36348033,-0.19386218,-1.7184713,-1.5381569,0.559386,-0.6542049,-1.8646139,1.3460681,-1.5539818,-0.92871195,-0.10989647,-0.80684775,-1.0207083,0.9187218,-2.3213315,-2.047845,0.29579824,-1.1834862,-1.3269396,0.3911007,0.09217151,-0.55133265,0.08835369,0.16814889,-0.92219645,-0.88472027,-0.38747525,-0.26297405,0.3541011,0.46936506,-1.1640569,-0.46494785,-2.0980597,-1.1567155,0.9392921,-1.0683396,-3.0957098,-0.84396565,-1.2710044
5,-1.1207061,-1.8173232,-1.750746,-1.7872602,0.5258902,-0.6413834,-2.451617,-1.1833475,0.058784753,1.7869864,0.23003773,0.47982872,-0.19200023,-1.7075431,-1.4896536,0.43499714,-0.75013673,-1.8854864,1.3793343,-1.7853339,-0.82427067,-0.28956127,-0.88086534,-1.061786,0.78540653,-2.5182552,-1.8532561,0.18831004,-1.4737285,-1.4238709,0.50416136,0.17816353,-0.6248273,0.21751527,0.0005199942,-1.1052877,-0.88835317,-0.19552259,-0.09946649,0.33723,0.37479082,-1.5104982,-0.43512288,-2.0890064,-1.1606932,0.8890173,-0.9077326,-2.7519517,-0.895743,-1.399319
6,-1.0087981,-1.8222401,-1.7118236,-1.7728565,0.54231685,-0.6254226,-2.5161393,-1.2659858,0.08224639,1.7868224,0.09838597,0.47972846,-0.16854456,-1.6553056,-1.4557787,0.40383956,-0.8177807,-1.808588,1.3596011,-1.9154202,-0.7552996,-0.35852763,-0.92022187,-1.0912101,0.7061515,-2.539995,-1.7526654,0.1431167,-1.6440936,-1.462379,0.5905308,0.1962972,-0.6822813,0.307752,-0.014691181,-1.1693103,-0.8955517,-0.09865161,0.021025635,0.3508129,0.30591017,-1.6265316,-0.40190285,-2.093668,-1.1689892,0.82316566,-0.7993445,-2.5187109,-0.905827,-1.4088703
7,-1.1020089,-1.7629063,-1.8318276,-1.6457947,0.5221694,-0.70621026,-2.464561,-1.2609221,0.22669838,1.7034197,0.085500404,0.56073415,-0.26010123,-1.534127,-1.3189094,0.35035786,-0.98712957,-1.617046,1.3610634,-1.8991582,-0.7542112,-0.38440776,-0.9650577,-1.0061706,0.6331811,-2.549235,-1.8290968,0.24449778,-1.7217712,-1.4932392,0.604652,0.33237132,-0.62293917,0.29945767,0.20438921,-1.1750107,-0.75297135,-0.1420483,-0.01662251,0.20582671,0.30300984,-1.5535,-0.55010104,-2.101238,-1.2848314,0.91146815,-0.7676706,-2.5990114,-0.8034949,-1.5438926
8,-1.1346563,-1.644305,-1.9170812,-1.4928116,0.36251298,-0.8571084,-2.298768,-1.2452757,0.38790882,1.4750454,0.05572751,0.60647786,-0.3682951,-1.3139162,-1.1174209,0.3149153,-1.2446707,-1.24905,1.3247447,-1.8777633,-0.7432749,-0.3917212,-1.0241274,-0.8948564,0.5210293,-2.4708369,-1.9446151,0.40498295,-1.8454369,-1.5253959,0.65020984,0.49495962,-0.55487525,0.31007692,0.60327566,-1.1474301,-0.5554455,-0.21597286,-0.039433885,0.025213564,0.28343746,-1.3694323,-0.74170303,-2.1212685,-1.4540863,0.9993461,-0.7012661,-2.669199,-0.63589203,-1.6697696
9,-1.1061949,-1.5836668,-1.9155182,-1.4430782,0.24425265,-0.9320685,-2.193985,-1.2344493,0.43461746,1.3404688,0.04007114,0.5952654,-0.40378138,-1.2050427,-1.0342085,0.3183856,-1.3546467,-1.0619066,1.2962786,-1.8692279,-0.73600066,-0.38273075,-1.0437993,-0.85462624,0.47202855,-2.4012465,-1.9937494,0.47719103,-1.9017292,-1.5363877,0.68050116,0.54509896,-0.5345077,0.32417303,0.79990673,-1.1220597,-0.4789882,-0.25051612,-0.036635507,-0.036025014,0.2716156,-1.2626543,-0.80924875,-2.1326046,-1.5225748,1.0201689,-0.66568804,-2.6795828,-0.55921996,-1.6926695
