,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1.8074944,-1.2150426,2.6536257,-0.6033012,0.52645093,-0.71489245,-2.0134685,-2.3464315,-0.8172482,-3.3353627,-0.8008273,1.0437905,-2.5623906,0.76897144,2.2594125,0.82783717,-0.8888705,-0.08840407,2.0856912,-1.9124436,-0.5146908,0.009104616,0.4387895,-2.2305782,-0.31933662,-2.2568946,-0.47964123,0.15253511,0.57676065,0.6567295,-1.1984452,-0.9528149,0.44458258,-0.77220386,1.1785502,0.1649806,-0.31244195,-3.4421568,0.3266459,1.1137706,-0.46918792,-2.1340928,0.51569223,0.07443892,-1.491135,-0.74040556,1.4859908,0.8161804,0.34552258,1.2179805
1,1.4279158,-0.9639859,2.7734778,-0.7170685,0.52774984,-0.99814624,-1.9234123,-2.6335201,-1.0134486,-3.148826,-0.8701632,1.1687227,-2.6197784,0.7225439,2.3182619,0.5977629,-0.77066225,-0.122750886,2.0912867,-1.9403756,-0.21857361,0.08429426,0.438598,-2.195439,-0.32361242,-2.0833995,-0.7461976,0.35496062,0.44804093,0.95253205,-1.0579433,-0.8213254,0.31827867,-0.72151834,1.142486,0.2008537,-0.19728366,-3.4322548,0.55642,0.93949395,-0.5539077,-2.054919,0.40919977,0.0299322,-1.5007299,-0.8337501,1.5730013,0.8352923,0.5830305,1.2030959
2,1.2250532,-0.8237224,2.7460532,-0.74379045,0.5018036,-1.1047826,-1.8767279,-2.7418795,-1.0731702,-3.0742562,-0.8813169,1.221429,-2.6827393,0.69141454,2.3142934,0.4940003,-0.65483934,-0.14842083,2.0580726,-1.9208739,-0.07644515,0.11200129,0.41938645,-2.1747584,-0.3085052,-1.9830943,-0.85439426,0.43963325,0.39026693,1.0768272,-1.0154507,-0.7401508,0.23050417,-0.73042053,1.1136955,0.17728487,-0.11941175,-3.4043407,0.6349712,0.846871,-0.6144711,-2.0155015,0.32995868,-0.007142175,-1.5007799,-0.8586017,1.619148,0.8392763,0.70640486,1.1753384
3,1.2289263,-0.77583206,2.627662,-0.82022536,0.44022074,-1.1396071,-1.8456804,-2.7044818,-1.0738515,-3.0102863,-0.8116036,1.2125641,-2.6614041,0.6784441,2.3188002,0.4748095,-0.6056588,-0.20263878,2.0212722,-1.9157447,-0.10792418,0.036798634,0.50147605,-2.177587,-0.3785382,-2.025519,-0.87514573,0.50751853,0.46752042,1.012775,-0.985978,-0.82128674,0.2242551,-0.7617006,1.0913892,0.11972334,-0.03215938,-3.390491,0.6332918,0.83684665,-0.65713644,-1.9475262,0.30978465,0.06653046,-1.5620192,-0.8278178,1.7263178,0.7366762,0.8073975,1.1868448
4,1.1540259,-0.78373647,2.5850565,-0.8013112,0.41362435,-1.1223488,-1.8312072,-2.7092867,-1.097381,-2.988279,-0.8330324,1.1442372,-2.5724216,0.64939755,2.391063,0.4587995,-0.50810933,-0.27720374,2.0908654,-1.9905239,-0.10255361,0.08298752,0.45420343,-2.136435,-0.37590602,-1.9835775,-0.8227486,0.45671824,0.45983917,1.0298911,-0.9097735,-0.8871004,0.25278655,-0.75276476,1.1157699,0.13201396,-0.019745462,-3.3039181,0.712263,0.80465084,-0.6692215,-1.9122691,0.29423463,0.059005458,-1.6238745,-0.88828653,1.767554,0.7011394,0.7905637,1.1561071
5,0.8687209,-0.7925569,2.2902079,-0.6750917,0.2812267,-0.99456024,-1.7790443,-2.6645312,-1.1116303,-2.9510627,-0.8757123,0.8870701,-2.3193035,0.5320248,2.59129,0.4261128,-0.06940657,-0.5502376,2.273978,-2.1936235,-0.0923595,0.23362425,0.2467589,-1.9849373,-0.33292136,-1.8101128,-0.5892489,0.23849672,0.4370988,1.0489672,-0.6938422,-1.086516,0.31575525,-0.7822114,1.1851797,0.10752807,0.048368525,-2.9642968,0.92538464,0.6855864,-0.739371,-1.7962377,0.19947432,0.0019050989,-1.828662,-1.0632653,1.9071598,0.57460105,0.7275874,1.0117185
6,0.34987336,-0.7596057,1.4579349,-0.32636878,-0.021912241,-0.6201898,-1.6906604,-2.4388855,-0.9640893,-2.9890788,-0.8680784,0.4306532,-2.0608037,0.29372886,2.791477,0.44158456,0.87434524,-1.0217876,2.408971,-2.368313,-0.09585841,0.4459315,-0.19158791,-1.7185949,-0.18351138,-1.4641211,-0.09656411,-0.21012846,0.3991355,0.9740566,-0.47304776,-1.3259889,0.3345949,-0.9934128,1.2568415,-0.1034358,0.22662619,-2.3367817,1.10173,0.48163313,-0.9275272,-1.6352451,-0.04078899,-0.16592129,-2.129248,-1.2581449,2.1170464,0.36899343,0.6091175,0.68529916
7,0.05849343,-0.6419327,0.4209389,0.10086506,-0.2825812,-0.11602594,-1.6512581,-2.0209014,-0.5324885,-3.2199585,-0.706907,0.20223074,-2.3363152,0.083373405,2.5827346,0.644459,1.6800809,-1.2335576,2.0491,-2.0335186,-0.14787132,0.4318797,-0.57431763,-1.5810286,0.019258603,-1.2010386,0.29021826,-0.5505543,0.34360534,0.70083183,-0.6948611,-1.1931368,0.19275643,-1.476781,1.1817498,-0.56938297,0.46772665,-1.9982462,0.74192196,0.39781567,-1.1816729,-1.6579281,-0.2679093,-0.38959607,-2.1609366,-1.1324458,2.1306207,0.3251901,0.5149914,0.36032793
8,-0.012791346,-0.55134207,-0.18910712,0.3571649,-0.39412692,0.20247415,-1.6458304,-1.7327746,-0.20846444,-3.4084833,-0.57098025,0.15714675,-2.6696699,-0.016728811,2.3147705,0.831477,2.0573192,-1.2494532,1.6777105,-1.6589104,-0.20205927,0.34569424,-0.7714364,-1.5561311,0.1326245,-1.0829079,0.45441765,-0.6890345,0.30003276,0.48825303,-0.96293795,-0.98858964,0.075713284,-1.838643,1.0877696,-0.90693855,0.6283117,-1.9222268,0.35994262,0.38925803,-1.3499297,-1.7250919,-0.37633744,-0.53037614,-2.0934196,-0.9562058,2.0648372,0.36972725,0.4734134,0.1815565
9,0.06543802,-0.47844315,-0.51951456,0.50803727,-0.4020292,0.40797397,-1.6617743,-1.5259349,0.04726076,-3.5718832,-0.44970727,0.23008512,-3.0480158,-0.039889112,1.9867039,1.019381,2.1565573,-1.1295947,1.2880388,-1.237549,-0.26701796,0.21089242,-0.85915595,-1.6098782,0.18031578,-1.0532963,0.47273773,-0.69363356,0.26155576,0.31430528,-1.264406,-0.73046935,-0.019531734,-2.1309044,0.97716576,-1.1655873,0.7442278,-2.018403,-0.044577308,0.42472863,-1.4708788,-1.8138089,-0.40689728,-0.62108135,-1.9657644,-0.7424095,1.9425904,0.4817101,0.46841502,0.09218541
