,0,1,2,3,4,5,6,7,8,9
0,0.18182142,0.13236901,0.769639,1.1985333,1.5541592,-2.6970847,1.4070729,-3.2621856,0.93427134,-2.4204688
1,0.50845426,-0.12808907,0.12892689,1.1836041,1.9375347,-2.792366,1.4683188,-3.0541801,0.77063006,-2.6099715
2,0.57893795,-0.27270508,-0.04104976,0.98055995,2.2346423,-2.133462,1.4781665,-2.9297118,1.2528509,-2.4778543
3,0.482367,-0.2846688,0.06253437,0.8285158,2.2612467,-1.6928085,1.4298568,-2.9226863,1.5803179,-2.3525836
4,0.30738205,-0.23487894,0.28734782,0.72117823,2.1764996,-1.4503036,1.3798432,-3.0459955,1.8162864,-2.2921565
5,0.27740413,-0.22403206,0.3264578,0.7085214,2.1573734,-1.4300692,1.3740602,-3.0748599,1.8446816,-2.2881749
6,0.5196886,0.029102078,0.54308844,0.46516708,1.9266261,-1.9099594,1.4828305,-2.9506013,1.6880746,-2.340044
7,0.5059582,0.25850576,0.730362,0.42324847,1.595798,-2.3865297,1.561258,-2.9681087,1.313186,-2.320281
8,0.12760472,0.2862538,0.67240375,0.8220842,1.5624617,-2.456357,1.6590729,-3.3222203,0.98746055,-2.2029386
9,-0.10565777,0.12725797,0.47163966,1.1633526,1.6882437,-2.104019,1.5661821,-3.4886138,0.9753863,-1.9787093
10,-0.01762145,-0.08509836,0.33376148,1.2019778,1.8533071,-1.7543311,1.3370724,-3.4550202,1.2932967,-1.8949786
11,0.17080212,-0.24716504,0.306677,1.0653813,1.9622906,-1.5967988,1.1355084,-3.3557088,1.6556021,-1.9719892
12,0.302274,-0.31347176,0.37505606,0.89957845,2.0092027,-1.6757323,1.0898767,-3.311702,1.8918403,-2.1781003
13,0.20142896,-0.3328238,0.33303845,1.0452472,1.8974088,-1.8227223,0.8733213,-3.173586,1.7801762,-2.4219294
14,0.23623203,-0.33124113,0.33859453,1.0298096,1.9113642,-1.8013216,0.8336802,-3.2130795,1.7356267,-2.4629889
15,0.21051258,-0.33056733,0.3442545,1.0249989,1.8780358,-1.7804191,0.8226915,-3.1992946,1.734485,-2.4879758
