,0,1,2,3,4,5,6,7,8,9
0,1.5727215,1.4998659,-0.4701417,0.0010507602,-2.0529637,-2.0629773,-0.31918862,4.284739,-3.4675753,-3.663845
1,1.4940038,1.4339828,-0.5662344,-0.12077626,-2.1339552,-2.1983578,-0.36303458,4.2125797,-3.4418125,-3.7099466
2,1.4459343,1.4153094,-0.61270285,-0.18164177,-2.1711469,-2.2554219,-0.38992777,4.166996,-3.4241064,-3.7312791
3,1.3230635,1.4438123,-0.7003525,-0.30104908,-2.2415109,-2.334251,-0.4646358,4.0597343,-3.3874953,-3.7852366
4,1.0149097,1.7539877,-0.8077655,-0.46710655,-2.321545,-2.2892387,-0.65730876,3.8155065,-3.318386,-3.8993764
5,0.9698265,2.1411862,-0.6648014,-0.29191342,-2.2082343,-1.9460511,-0.6459127,3.8977764,-3.4010997,-3.9084184
6,1.0428648,2.212926,-0.5708782,-0.16960022,-2.131264,-1.8198154,-0.5718059,4.015846,-3.4567888,-3.8654046
7,1.1044629,2.2190695,-0.5160197,-0.097655654,-2.084552,-1.7651119,-0.51610994,4.0939097,-3.4865687,-3.8278182
8,1.1048999,2.2168918,-0.51623595,-0.09923232,-2.0759213,-1.7509623,-0.5088793,4.0849204,-3.4821386,-3.8166168
9,1.2826475,1.8117648,-0.6085126,-0.23009312,-1.9894856,-1.7959856,-0.30683914,3.9974375,-3.4023046,-3.582056
10,1.4141682,1.5744792,-0.6548736,-0.272833,-2.0874941,-2.0852168,-0.33035812,4.0818195,-3.4148705,-3.6305072
11,1.4645733,1.5028663,-0.6609069,-0.26693708,-2.1698108,-2.2609313,-0.39828613,4.147426,-3.433623,-3.7144988
12,1.474847,1.5237342,-0.61857504,-0.18905331,-2.3253803,-2.5072596,-0.6107653,4.2426066,-3.4569702,-3.9289954
13,1.1270508,1.9281374,-0.40736774,0.04429916,-2.2278013,-2.1131399,-0.868804,3.9509542,-3.244593,-3.9563959
14,1.0986125,1.9238744,-0.5008008,-0.10567506,-2.0653722,-1.8405279,-0.5154988,3.9671855,-3.3164995,-3.7574036
15,1.1314231,1.9025656,-0.5483926,-0.16592924,-2.044527,-1.8222011,-0.40618783,4.0179815,-3.3746133,-3.7187285
16,1.1819569,2.0577946,-0.4200477,-0.05714849,-2.1397514,-1.8375751,-0.4671264,3.903589,-3.4444175,-3.5661
17,1.3491678,2.0443544,-0.42534152,-0.046645463,-2.2885635,-2.124802,-0.5559165,4.0234804,-3.5665333,-3.6063766
18,1.4692647,1.9301175,-0.44341487,-0.057072885,-2.3457627,-2.3454664,-0.6177953,4.0390596,-3.560033,-3.5605273
19,1.4358963,1.6817076,-0.55380905,-0.16123481,-2.19588,-2.306454,-0.5724789,4.034828,-3.3822167,-3.5849125
20,1.3496091,1.5856256,-0.6184204,-0.22290166,-2.0724854,-2.1563833,-0.5114532,4.035181,-3.279579,-3.6511343
21,1.2646209,1.6062188,-0.65045303,-0.24861565,-2.0121605,-2.0020747,-0.46085626,4.072907,-3.270309,-3.7647934
22,1.309414,1.6224992,-0.51824576,-0.11506945,-2.024657,-2.0556307,-0.46045125,4.162021,-3.4040017,-3.5994565
23,1.3369094,1.7009727,-0.44232112,-0.035297725,-2.0735886,-2.092898,-0.47344464,4.217468,-3.5158598,-3.5448487
24,1.3619971,1.9052551,-0.3452111,0.06844205,-2.1850863,-2.1298165,-0.5075825,4.261181,-3.6852942,-3.5116441
25,1.2231845,2.1484652,-0.50047743,-0.09889351,-2.2235448,-1.9555218,-0.5275144,3.9689035,-3.492412,-3.676765
26,1.1756163,1.9516195,-0.6409255,-0.25140914,-2.1328135,-1.9396082,-0.47194487,3.9387648,-3.3229423,-3.79002
