,0,1,2,3,4,5,6,7,8,9
0,-2.1542208,-3.0164056,-2.7997906,0.05442688,-3.6473942,-1.2962002,0.15464446,1.7970252,-0.77841896,-3.9522378
1,-2.1540742,-3.016494,-2.7991688,0.054761656,-3.6442156,-1.2932286,0.15397407,1.7962776,-0.7808204,-3.9516752
2,-2.1178343,-3.0196753,-2.7105381,0.040805973,-3.7212863,-1.2097262,0.1834283,1.7811007,-0.6893739,-3.9376755
3,-2.0101712,-3.057688,-2.5830028,-0.057259995,-3.794795,-1.048654,0.2489036,1.7624182,-0.6999817,-3.9685168
4,-1.9518588,-3.078589,-2.5419307,-0.10865788,-3.7952483,-0.99535316,0.28384805,1.7539564,-0.75784004,-3.9978795
5,-1.8770012,-3.3448322,-2.6077008,-0.07581553,-3.8427086,-1.2559854,0.2183618,1.7495915,-0.77235824,-4.2745557
6,-1.9615275,-3.25903,-2.6636548,-0.058348257,-3.6053188,-1.4501425,0.29053047,1.8256217,-1.1746701,-4.1675715
7,-2.0390656,-3.1756244,-2.6353672,-0.112044185,-3.562162,-1.410943,0.30094177,1.9074217,-1.2698972,-4.005727
8,-2.0714717,-3.1364627,-2.613899,-0.1501263,-3.5665514,-1.3631198,0.29255566,1.950991,-1.2730076,-3.9225392
9,-2.0921476,-3.1018891,-2.5911772,-0.193014,-3.589798,-1.2981198,0.27226818,1.9918791,-1.2389416,-3.8481338
10,-2.0776577,-3.0668182,-2.5695193,-0.24932937,-3.6553617,-1.1841753,0.21743311,2.0275567,-1.1088563,-3.7913623
11,-2.010937,-3.053502,-2.583536,-0.25292486,-3.7027695,-1.1190683,0.16800326,2.0035543,-0.9717345,-3.8339005
12,-1.9277892,-3.040901,-2.6068916,-0.24271841,-3.748176,-1.0588355,0.11681447,1.9621141,-0.8234159,-3.9015164
13,-1.8448555,-3.029337,-2.6549153,-0.16125432,-3.735134,-1.0726334,0.109503634,1.8601133,-0.7611248,-4.0287924
14,-1.8135792,-3.0253775,-2.6865463,-0.08352881,-3.7037146,-1.1101304,0.13030072,1.7756072,-0.7700048,-4.118353
15,-1.8617452,-3.0411015,-2.6976275,0.012094781,-3.6468341,-1.1837507,0.2009984,1.6857021,-0.8734928,-4.179427
16,-2.0236843,-3.1048708,-2.6629415,0.06598325,-3.6004996,-1.261663,0.3121077,1.644782,-1.048834,-4.1557283
17,-2.184345,-3.1996331,-2.6067362,0.00993013,-3.613722,-1.2819451,0.3830748,1.702592,-1.1533079,-4.053825
18,-2.2346563,-3.2677722,-2.579211,-0.0897103,-3.6527386,-1.2651985,0.39152843,1.7930475,-1.1574196,-3.964699
19,-2.1828852,-3.314087,-2.5809717,-0.22629257,-3.7043376,-1.2339201,0.35538742,1.9136355,-1.0995603,-3.8823915
20,-1.9069134,-3.2586672,-2.6515172,-0.3529156,-3.7367935,-1.2161934,0.24300197,2.0302367,-0.977635,-3.858823
21,-1.7293898,-3.1266959,-2.6916716,-0.29863906,-3.7070272,-1.2427076,0.17365715,2.0007617,-0.9590868,-3.921167
22,-1.6760495,-3.0267546,-2.6923807,-0.2156642,-3.677216,-1.2631857,0.14083855,1.9459181,-0.974496,-3.9807458
